vehicle_id,registration_number,vehicle_type,make,model,manufacturing_year,color,owner_person_id,owner_organization_id,registration_date,status,source_id,confidence_score,created_at,updated_at
V00001,UP56CD8421,Truck,Mahindra,Pulsar,2022,Red,P00651,,2020-07-15,Active,SRC006,0.86,2025-06-18 13:12:01,2025-12-22 09:24:55
V00002,MH67GH9871,SUV,Hero,Innova,2023,White,P01403,,2023-05-09,Inactive,SRC009,0.89,2024-12-03 10:51:35,2025-04-04 02:49:06
V00003,RJ40CD5474,SUV,Hyundai,Swift,2019,Grey,P01814,,2017-05-09,Flagged,SRC010,0.93,2025-09-03 03:25:22,2026-01-10 16:30:02
V00004,GJ24EF4554,Motorcycle,Mahindra,Nexon,2018,Silver,P02832,,2024-07-06,Inactive,SRC022,0.9,2025-06-03 16:00:51,2024-10-15 17:49:40
V00005,GJ16JK7046,SUV,Maruti Suzuki,Splendor,2021,Silver,P02978,,2023-07-26,Inactive,SRC016,0.83,2025-06-20 08:57:09,2024-09-21 02:22:07
V00006,KA42GH1452,Van,Bajaj,Nexon,2019,Red,P00496,,2026-06-22,Active,SRC004,0.93,2024-02-06 12:27:03,2026-05-05 08:17:55
V00007,MP39CD8349,Van,Hyundai,City,2023,Silver,,O0096,2018-01-09,Flagged,SRC030,0.89,2025-10-10 11:20:36,2026-08-06 02:35:44
V00008,DL17GH2919,SUV,Tata,Scorpio,2014,Silver,P01026,,2023-10-20,Inactive,SRC018,0.83,2026-08-15 19:46:23,2025-05-05 00:11:42
V00009,UP07JK3876,Car,Hero,Swift,2023,Blue,P02293,,2024-05-12,Flagged,SRC029,0.83,2026-01-30 08:23:54,2025-01-02 08:50:21
V00010,UP17EF3898,Auto Rickshaw,Hyundai,Swift,2024,Red,,O0298,2018-09-15,Flagged,SRC009,0.95,2024-12-19 03:35:19,2024-07-11 07:10:08
V00011,KA34GH2343,Motorcycle,Maruti Suzuki,Nexon,2021,Blue,P01416,,2020-02-11,Active,SRC019,0.96,2026-03-27 03:24:45,2026-05-03 07:36:14
V00012,GJ12AB1253,Auto Rickshaw,Tata,Nexon,2021,Blue,P00687,,2022-02-04,Flagged,SRC030,0.95,2026-03-30 14:40:59,2025-07-15 23:43:52
V00013,RJ74JK9396,Truck,Mahindra,Innova,2023,Red,P03431,,2024-07-18,Flagged,SRC022,0.85,2025-10-20 16:41:29,2025-03-03 13:02:05
V00014,UP05CD3919,Motorcycle,Honda,Swift,2022,White,P01767,,2018-10-10,Flagged,SRC015,0.89,2026-02-24 09:32:47,2025-07-30 22:39:33
V00015,RJ99JK2705,Van,Hyundai,Innova,2014,Grey,P00955,,2017-06-01,Flagged,SRC011,0.83,2025-08-30 07:56:21,2025-12-25 07:51:41
V00016,DL72JK7048,Truck,Tata,Swift,2022,Silver,P02074,,2018-11-29,Active,SRC012,0.82,2024-10-20 20:05:21,2025-02-27 09:43:57
V00017,UP66GH7278,Car,Maruti Suzuki,Splendor,2025,Silver,P02647,,2023-06-12,Flagged,SRC009,0.97,2024-01-11 18:21:42,2025-10-23 08:47:57
V00018,MP48JK2023,Motorcycle,Bajaj,City,2022,Red,P01811,,2020-10-21,Inactive,SRC008,0.89,2026-07-17 13:20:55,2024-12-20 05:20:14
V00019,KA85AB2731,Motorcycle,Toyota,Pulsar,2022,Silver,P02514,,2019-05-31,Flagged,SRC023,0.84,2024-05-23 11:20:29,2025-02-21 02:36:31
V00020,MH73GH9863,Auto Rickshaw,Bajaj,Splendor,2015,Silver,P02862,,2018-03-30,Inactive,SRC022,0.96,2025-04-22 21:32:50,2025-09-01 19:58:10
V00021,UP73EF6308,Van,Hyundai,City,2021,Red,P02999,,2017-05-06,Flagged,SRC016,0.81,2024-03-25 04:21:15,2025-10-05 02:14:17
V00022,DL11AB4804,SUV,Mahindra,Scorpio,2020,Black,P00362,,2022-07-11,Inactive,SRC020,0.83,2024-08-27 14:36:26,2025-10-08 20:58:26
V00023,MH26EF1180,SUV,Hyundai,Innova,2019,Blue,P01926,,2019-05-25,Flagged,SRC030,0.9,2026-02-21 01:36:50,2024-08-31 07:39:18
V00024,MH15EF4624,Truck,Hero,Swift,2020,White,,O0216,2019-06-05,Active,SRC011,0.86,2024-11-14 20:26:26,2024-03-26 14:31:55
V00025,MP90JK9195,Truck,Toyota,City,2023,Red,,O0060,2025-04-30,Active,SRC020,0.83,2024-03-31 11:44:08,2026-02-23 11:18:14
V00026,KA75EF2926,Van,Mahindra,Scorpio,2020,Red,P01333,,2021-10-01,Inactive,SRC014,0.86,2024-03-30 19:06:37,2026-04-10 01:35:31
V00027,MP28GH5323,Car,Maruti Suzuki,Creta,2023,Blue,P00914,,2023-04-12,Active,SRC029,0.82,2025-06-11 03:17:22,2026-07-24 20:50:58
V00028,RJ32JK3697,Motorcycle,Honda,City,2017,Black,P03675,,2024-06-17,Inactive,SRC012,0.95,2026-03-02 10:12:30,2025-06-05 08:38:27
V00029,UP94EF2315,Auto Rickshaw,Hyundai,Splendor,2022,Red,,O0292,2022-07-05,Flagged,SRC011,0.96,2024-10-22 16:19:31,2025-08-07 03:14:04
V00030,DL15EF5669,Motorcycle,Bajaj,Swift,2024,Black,P01844,,2020-01-12,Inactive,SRC012,0.91,2026-05-06 03:01:12,2026-03-04 20:36:50
V00031,DL27AB5646,Truck,Honda,Swift,2022,White,P03914,,2020-03-17,Flagged,SRC029,0.81,2026-02-15 18:57:29,2026-01-17 22:59:25
V00032,DL42GH9862,Car,Mahindra,Scorpio,2017,White,,O0214,2022-07-26,Inactive,SRC016,0.91,2025-08-30 15:40:02,2025-03-23 22:43:07
V00033,UP50EF1281,Auto Rickshaw,Mahindra,Swift,2021,Silver,P01595,,2024-02-17,Active,SRC011,0.91,2025-06-18 04:01:04,2025-05-05 02:29:40
V00034,KA56EF1337,Truck,Hyundai,Swift,2020,Grey,P00111,,2023-04-17,Active,SRC002,0.91,2024-06-27 02:48:00,2024-10-23 06:37:37
V00035,GJ13AB6341,Truck,Tata,Swift,2022,Grey,P01540,,2019-05-19,Inactive,SRC007,0.94,2025-06-10 09:39:32,2025-08-27 13:24:27
V00036,GJ89EF9732,Motorcycle,Mahindra,Creta,2022,Silver,P01113,,2017-07-28,Flagged,SRC014,0.87,2025-08-10 04:05:50,2026-02-02 23:12:53
