case_id,fir_number,case_type,case_category,registration_date,incident_date,incident_location_id,police_station,jurisdiction,case_status,investigating_unit,source_document_id,confidence_score,created_at,updated_at
C00001,FIR/2024/6395,Economic,Illegal Gambling,2024-08-15,2024-07-26,L02490,Gwalior Central Police Station,Indore,Closed,Cyber Cell,DOC01145,0.81,2025-08-29 01:48:10,2025-09-04 23:48:10
C00002,FIR/2026/7990,Cyber,Burglary,2026-02-05,2026-01-25,L01792,Mumbai Central Police Station,Kota,Under Investigation,Cyber Cell,DOC00598,0.84,2026-03-19 10:18:45,2026-04-06 11:18:45
C00003,FIR/2026/1645,Cyber,Illegal Gambling,2026-08-07,2026-07-25,L02013,Dewas Central Police Station,Jaipur,Pending Trial,Crime Branch,DOC01485,0.81,2026-06-24 16:31:15,2026-07-24 07:31:15
C00004,FIR/2026/3317,Cyber,Vehicle Theft,2026-07-29,2026-07-17,L00563,Mumbai Central Police Station,Dewas,Under Investigation,Economic Offences Unit,DOC00086,0.91,2024-07-21 02:38:35,2025-06-04 18:52:44
C00005,FIR/2024/9748,Organized Crime,Money Laundering,2024-05-24,2024-05-20,L02433,Lucknow Central Police Station,Indore,Closed,Cyber Cell,DOC00477,0.87,2025-11-07 00:20:15,2025-11-14 05:20:15
C00006,FIR/2026/2991,Cyber,Assault,2026-04-25,2026-04-03,L01820,Pune Central Police Station,Pune,Under Investigation,Crime Branch,DOC01620,0.89,2026-08-27 12:36:02,2026-09-04 23:59:59
C00007,FIR/2025/3873,Cyber,Cybercrime,2025-12-02,2025-11-10,L02165,Gurugram Central Police Station,Bengaluru,Open,Cyber Cell,DOC00337,0.81,2026-03-08 20:16:11,2026-03-25 12:16:11
C00008,FIR/2024/9176,Cyber,Robbery,2024-02-26,2024-02-26,L00931,Mumbai Central Police Station,Lucknow,Under Investigation,Economic Offences Unit,DOC00389,0.89,2026-02-04 05:37:14,2026-02-07 04:37:14
C00009,FIR/2025/8189,Economic,Fraud,2025-07-29,2025-07-02,L01353,Jabalpur Central Police Station,Gurugram,Open,Local Police,DOC02218,0.92,2024-01-13 02:11:43,2024-03-28 03:43:49
C00010,FIR/2025/9251,Organized Crime,Forgery,2025-07-13,2025-06-29,L00944,Vadodara Central Police Station,Delhi,Pending Trial,Cyber Cell,DOC00985,0.97,2025-05-27 05:21:46,2025-06-02 14:21:46
C00011,FIR/2025/5499,Organized Crime,Vehicle Theft,2025-03-18,2025-02-21,L00423,Ahmedabad Central Police Station,Jaipur,Pending Trial,Economic Offences Unit,DOC02151,0.91,2026-04-18 15:59:15,2026-04-28 23:59:15
C00012,FIR/2024/1482,Organized Crime,Fraud,2024-12-05,2024-11-23,L00085,Mumbai Central Police Station,Bhopal,Under Investigation,Local Police,DOC00118,0.85,2025-11-15 04:33:11,2025-12-06 22:33:11
C00013,FIR/2026/1440,Criminal,Fraud,2026-09-04,2026-08-15,L01758,Jabalpur Central Police Station,Ujjain,Pending Trial,Economic Offences Unit,DOC02133,0.85,2025-11-18 23:52:38,2025-12-02 09:52:38
C00014,FIR/2024/9742,Cyber,Assault,2024-06-22,2024-06-13,L02026,Indore Central Police Station,Surat,Open,Cyber Cell,DOC02567,0.84,2026-08-20 23:14:20,2026-09-04 23:59:59
C00015,FIR/2025/4002,Cyber,Robbery,2025-10-29,2025-10-19,L00917,Ujjain Central Police Station,Ujjain,Closed,Economic Offences Unit,DOC01344,0.8,2024-12-12 23:16:39,2025-10-03 09:02:16
C00016,FIR/2025/9664,Cyber,Burglary,2025-10-23,2025-10-07,L00804,Dewas Central Police Station,Ahmedabad,Closed,Economic Offences Unit,DOC01611,0.85,2024-06-04 01:54:59,2024-09-30 22:59:36
C00017,FIR/2024/1139,Cyber,Extortion,2024-02-11,2024-01-25,L00056,Surat Central Police Station,Kanpur,Pending Trial,Crime Branch,DOC01284,0.88,2024-11-19 07:21:03,2026-08-22 15:01:30
C00018,FIR/2025/1314,Criminal,Smuggling,2025-12-21,2025-12-18,L02412,Bengaluru Central Police Station,Hyderabad,Under Investigation,Crime Branch,DOC02204,0.93,2024-10-21 19:32:08,2025-05-30 06:41:27
C00019,FIR/2024/7650,Organized Crime,Robbery,2024-06-26,2024-06-22,L00535,Mumbai Central Police Station,Pune,Open,Cyber Cell,DOC02939,0.86,2025-10-10 06:21:10,2025-10-17 09:21:10
C00020,FIR/2024/3013,Cyber,Illegal Gambling,2024-09-04,2024-08-11,L00802,Hyderabad Central Police Station,Jaipur,Closed,Local Police,DOC01479,0.93,2024-05-17 09:24:29,2024-06-16 07:36:25
C00021,FIR/2024/0499,Cyber,Forgery,2024-09-26,2024-09-25,L00857,Bhopal Central Police Station,Nagpur,Open,Economic Offences Unit,DOC01655,0.92,2025-06-30 15:41:03,2025-07-21 11:41:03
C00022,FIR/2025/1010,Criminal,Fraud,2025-09-08,2025-08-21,L01970,Bhopal Central Police Station,Gwalior,Pending Trial,Crime Branch,DOC02455,0.84,2026-02-13 08:36:27,2026-03-09 14:36:27
C00023,FIR/2026/1713,Cyber,Robbery,2026-04-10,2026-03-26,L01465,Kanpur Central Police Station,Gurugram,Closed,Crime Branch,DOC01143,0.83,2024-01-28 17:19:52,2025-04-02 03:45:23
C00024,FIR/2024/5028,Cyber,Illegal Gambling,2024-02-13,2024-01-29,L00468,Dewas Central Police Station,Gurugram,Pending Trial,Crime Branch,DOC00163,0.95,2024-09-18 05:47:58,2026-03-10 22:13:10
C00025,FIR/2024/2316,Criminal,Assault,2024-09-04,2024-08-12,L00698,Jaipur Central Police Station,Vadodara,Under Investigation,Cyber Cell,DOC02367,0.88,2025-02-12 13:29:45,2025-02-25 15:29:45
C00026,FIR/2024/2132,Cyber,Burglary,2024-12-26,2024-12-03,L01277,Kota Central Police Station,Dewas,Closed,Cyber Cell,DOC01860,0.9,2026-02-08 21:55:15,2026-02-16 21:55:15
