location_id,location_name,location_type,address,city,state,country,latitude,longitude,postal_code,risk_category,source_id,confidence_score,created_at,updated_at
L00001,Mall 551,Warehouse,"97/61, Roy Marg",Lucknow,Uttar Pradesh,India,20.886889,86.359807,185700,Medium,SRC026,0.78,2024-04-01 00:19:51,2024-04-26 22:19:51
L00002,Market 467,Warehouse,"H.No. 737, Sarkar Circle",Bhopal,Madhya Pradesh,India,21.582727,72.146382,557195,High,SRC001,0.93,2026-08-16 14:19:00,2026-09-04 23:59:59
L00003,Junction 507,Office,"03/41, Sahota Ganj",Bengaluru,Karnataka,India,27.743334,84.516658,176737,High,SRC013,0.78,2024-05-24 14:54:46,2025-04-16 22:56:48
L00004,Hotel 685,Bank,"06/35, Kanda",Delhi,Delhi,India,18.748297,72.249986,215100,High,SRC004,0.98,2025-08-12 08:58:53,2026-08-03 03:00:45
L00005,Junction 566,Public Place,"998, Mahajan Street",Indore,Madhya Pradesh,India,16.177097,73.309099,131103,Unknown,SRC009,0.98,2026-05-08 21:42:54,2026-06-02 18:01:19
L00006,Station 130,Transport Hub,"71, Chanda Nagar",Jabalpur,Madhya Pradesh,India,14.01238,87.155471,660200,Unknown,SRC002,0.92,2025-04-07 21:29:47,2025-04-18 21:29:47
L00007,Mall 425,Bank,"845, Nanda Ganj",Hyderabad,Telangana,India,9.643285,84.88327,681966,Low,SRC017,0.86,2024-06-17 07:46:56,2024-07-05 23:43:56
L00008,Apartment 249,Warehouse,"H.No. 373, Hegde Marg",Indore,Madhya Pradesh,India,14.525993,84.42493,570815,High,SRC022,0.82,2024-03-03 00:28:04,2025-06-07 13:51:26
L00009,Industrial Area 251,Warehouse,"77/833, Vyas Marg",Indore,Madhya Pradesh,India,14.159155,78.019327,614464,Unknown,SRC025,0.88,2026-05-27 04:47:23,2026-06-13 11:47:23
L00010,Industrial Area 674,Transport Hub,"53, Bhatia Zila",Bengaluru,Karnataka,India,20.014385,84.973996,266897,Low,SRC025,0.8,2024-10-28 10:50:43,2026-07-01 10:41:03
L00011,Junction 818,Hotel,"H.No. 71, Virk Road",Bhopal,Madhya Pradesh,India,18.268528,73.617613,255291,Unknown,SRC015,0.9,2025-10-22 22:59:00,2025-11-15 00:59:00
L00012,Road 588,Warehouse,"44/74, Bhatti Nagar",Lucknow,Uttar Pradesh,India,13.222436,85.463694,866849,Medium,SRC010,0.86,2026-03-05 05:23:12,2026-03-17 07:23:12
L00013,Mall 125,Office,"H.No. 45, Wagle Street",Ahmedabad,Gujarat,India,26.581825,82.881394,240230,Low,SRC003,0.87,2026-08-07 17:55:21,2026-08-08 06:55:21
L00014,Apartment 140,Hotel,"294, Sarraf Ganj",Ahmedabad,Gujarat,India,9.674757,76.228607,501023,High,SRC023,0.84,2025-07-10 03:37:27,2025-07-15 01:37:27
L00015,Warehouse 523,Office,"90/094, Dara Nagar",Vadodara,Gujarat,India,11.321022,77.87526,749192,Low,SRC029,0.95,2026-06-20 20:44:28,2026-06-29 09:44:28
L00016,Market 252,Transport Hub,"51/10, Sandhu",Bhopal,Madhya Pradesh,India,12.840659,84.142867,424853,High,SRC007,0.92,2026-01-02 10:20:41,2026-01-06 05:20:41
L00017,Hotel 910,Public Place,"H.No. 78, Sheth Chowk",Jabalpur,Madhya Pradesh,India,24.121306,79.503938,297467,Low,SRC027,0.94,2025-08-13 09:55:25,2026-06-08 05:11:14
L00018,Apartment 390,Warehouse,"178, Borah Street",Surat,Gujarat,India,14.304048,86.005427,790068,Medium,SRC007,0.78,2025-09-24 23:34:39,2026-07-13 00:10:21
L00019,Junction 112,Office,"H.No. 28, Kota Chowk",Surat,Gujarat,India,10.270853,85.375476,576358,Low,SRC021,0.78,2026-04-08 17:21:28,2026-05-06 01:21:28
L00020,Market 501,Office,"H.No. 135, Gole Road",Jaipur,Rajasthan,India,12.956932,78.43218,867456,Medium,SRC002,0.94,2026-02-10 22:07:16,2026-06-11 02:23:05
L00021,Office 181,Office,"132, Choudhry Circle",Vadodara,Gujarat,India,27.555416,76.948672,613682,Medium,SRC021,0.96,2024-08-01 08:50:17,2024-08-17 05:00:16
L00022,Apartment 767,Commercial Area,"04/60, Master Circle",Delhi,Delhi,India,24.326043,80.96861,740724,Medium,SRC011,0.94,2026-03-02 07:03:04,2026-03-02 21:03:04
L00023,Warehouse 853,Public Place,"18/799, Subramanian",Gwalior,Madhya Pradesh,India,10.173356,82.966711,790848,High,SRC009,0.93,2024-03-20 02:40:17,2026-06-26 22:40:12
L00024,Warehouse 547,Transport Hub,"71, Parmer Zila",Kota,Rajasthan,India,25.02037,77.271207,750736,Medium,SRC015,0.93,2024-03-21 13:59:37,2026-08-30 12:16:35
L00025,Mall 995,Warehouse,"040, Krish Marg",Surat,Gujarat,India,16.029522,74.036038,236281,High,SRC002,0.88,2025-09-16 20:31:41,2025-11-23 08:15:14
L00026,Road 595,Transport Hub,"91/11, Bal Ganj",Nagpur,Maharashtra,India,27.349741,74.927559,366196,Medium,SRC005,0.8,2025-03-21 05:02:32,2025-04-13 21:02:32
L00027,Hotel 608,Hotel,"69/78, Rai Zila",Kanpur,Uttar Pradesh,India,24.509543,80.178817,667141,Medium,SRC022,0.93,2025-02-25 20:30:58,2025-06-14 22:47:54
L00028,Office 521,Industrial Site,"59/700, Kale Chowk",Surat,Gujarat,India,8.605197,72.448294,127121,Unknown,SRC011,0.76,2026-02-28 16:13:24,2026-03-05 21:13:24
L00029,Mall 91,Bank,"09/627, Chopra Ganj",Gurugram,Haryana,India,24.165904,77.771395,734992,High,SRC030,0.78,2025-06-23 04:31:54,2025-06-25 22:31:54
L00030,Junction 721,Bank,"86, Sem Zila",Dewas,Madhya Pradesh,India,17.846813,79.718779,296194,High,SRC025,0.97,2024-05-04 14:11:48,2025-01-31 17:31:54
L00031,Station 271,Hotel,"68/737, Cherian Nagar",Hyderabad,Telangana,India,8.678477,78.834208,498771,Low,SRC002,0.85,2026-06-02 03:14:26,2026-06-26 00:14:26
L00032,Road 545,Industrial Site,"81, Parmar Street",Jaipur,Rajasthan,India,26.478569,78.242794,399197,Unknown,SRC005,0.98,2026-05-13 11:40:06,2026-05-14 00:40:06
L00033,Hotel 826,Commercial Area,"86, Dutt Road",Delhi,Delhi,India,24.046537,79.949425,511261,Medium,SRC026,0.96,2026-08-25 16:56:27,2026-09-01 20:56:27
L00034,Hotel 925,Transport Hub,"28/277, Purohit Path",Kanpur,Uttar Pradesh,India,21.064494,78.077426,399837,Low,SRC005,0.78,2025-02-20 07:30:35,2025-09-01 13:21:56
L00035,Market 480,Warehouse,"264, Sarin Street",Nagpur,Maharashtra,India,25.194163,76.052499,773014,High,SRC024,0.8,2026-06-18 11:00:23,2026-07-17 15:00:23
L00036,Market 95,Public Place,"27/943, Barad Road",Kota,Rajasthan,India,9.208931,85.341786,162766,Medium,SRC005,0.95,2024-09-09 09:47:03,2025-05-29 05:56:34
L00037,Industrial Area 32,Bank,"60/56, Dalal Road",Nagpur,Maharashtra,India,19.273325,78.354222,106660,Medium,SRC012,0.91,2025-12-05 15:23:02,2025-12-26 03:23:02
L00038,Industrial Area 304,Hotel,"945, Jain Zila",Gwalior,Madhya Pradesh,India,10.487504,78.30787,609901,Low,SRC007,0.78,2025-10-01 11:20:22,2026-02-13 07:20:13
L00039,Apartment 768,Transport Hub,"81, Sanghvi Nagar",Bhopal,Madhya Pradesh,India,12.930506,82.153943,588606,High,SRC009,0.98,2025-10-25 18:10:03,2025-11-12 16:10:03
L00040,Mall 587,Commercial Area,"750, Memon Path",Delhi,Delhi,India,11.105882,86.794354,226027,Unknown,SRC003,0.94,2025-06-28 23:20:15,2026-05-23 15:02:09
L00041,Road 933,Transport Hub,"H.No. 06, Jayaraman Circle",Gurugram,Haryana,India,19.398176,83.614539,594587,High,SRC030,0.94,2026-04-04 21:00:45,2026-04-19 05:00:45
L00042,Hotel 729,Commercial Area,"071, Narasimhan Nagar",Bengaluru,Karnataka,India,24.854468,83.728736,400674,Low,SRC006,0.86,2024-04-13 02:40:17,2025-05-25 14:00:08
L00043,Warehouse 505,Transport Hub,"52/40, Tandon Circle",Mumbai,Maharashtra,India,21.62108,85.810675,155075,Medium,SRC015,0.93,2025-04-23 14:11:37,2025-04-28 18:11:37
L00044,Apartment 136,Warehouse,"63/92, Modi Zila",Lucknow,Uttar Pradesh,India,26.635503,76.477754,501709,Low,SRC006,0.8,2026-04-14 09:50:27,2026-04-27 07:50:27
L00045,Station 884,Warehouse,"H.No. 45, Borde Zila",Mumbai,Maharashtra,India,17.51594,73.637793,767079,Unknown,SRC030,0.95,2025-10-24 20:55:29,2026-08-04 10:43:06
L00046,Junction 42,Transport Hub,"99, Salvi Street",Indore,Madhya Pradesh,India,22.568019,78.231019,243417,High,SRC004,0.77,2026-02-05 10:31:09,2026-08-21 14:26:05
L00047,Station 237,Industrial Site,"H.No. 80, Ramachandran Circle",Kanpur,Uttar Pradesh,India,9.589102,73.964314,861469,Low,SRC012,0.75,2024-05-27 22:09:36,2026-07-24 15:02:19
L00048,Office 545,Warehouse,"19/368, Patil Chowk",Jabalpur,Madhya Pradesh,India,8.757221,84.399119,412287,High,SRC022,0.9,2025-02-21 02:08:38,2025-02-24 15:08:38
L00049,Hotel 174,Industrial Site,"H.No. 47, Yohannan Zila",Hyderabad,Telangana,India,27.546055,87.157966,820942,Unknown,SRC025,0.97,2024-09-04 02:15:34,2025-06-09 06:26:55
L00050,Industrial Area 494,Transport Hub,"835, Subramaniam Path",Kota,Rajasthan,India,11.651208,81.999203,427093,High,SRC023,0.81,2026-06-18 00:25:25,2026-07-17 04:25:25
L00051,Industrial Area 199,Warehouse,"12/595, Nayak Ganj",Pune,Maharashtra,India,22.309031,80.320474,241266,Medium,SRC020,0.85,2025-01-27 06:23:16,2025-02-12 18:23:16
L00052,Office 82,Commercial Area,"85, Sachar Marg",Hyderabad,Telangana,India,10.393874,72.190712,872357,Unknown,SRC001,0.87,2026-02-12 21:00:23,2026-03-12 03:00:23
L00053,Warehouse 264,Hotel,"12/015, Dubey Nagar",Dewas,Madhya Pradesh,India,25.880676,82.026246,155427,Unknown,SRC029,0.89,2026-08-14 13:19:55,2026-09-04 23:59:59
L00054,Hotel 222,Bank,"41/045, Verma Street",Jaipur,Rajasthan,India,9.365664,86.441663,646880,Unknown,SRC008,0.78,2026-02-23 10:25:19,2026-04-18 18:52:55
L00055,Hotel 186,Residence,"49/526, Nayak Nagar",Indore,Madhya Pradesh,India,19.206301,80.950916,854641,Low,SRC018,0.86,2026-04-23 08:08:19,2026-05-12 22:08:19
L00056,Road 371,Residence,"H.No. 223, Mitter Zila",Indore,Madhya Pradesh,India,17.526191,75.35348,886366,Medium,SRC015,0.86,2025-05-05 14:00:59,2025-05-26 11:00:59
L00057,Warehouse 134,Bank,"H.No. 48, Sekhon Path",Pune,Maharashtra,India,27.778081,86.225412,265700,High,SRC003,0.93,2024-12-02 23:59:10,2024-12-26 19:59:10
L00058,Hotel 53,Warehouse,"H.No. 32, Bali",Lucknow,Uttar Pradesh,India,21.687277,79.261896,160962,High,SRC020,0.9,2025-08-21 06:49:16,2025-08-28 17:49:16
L00059,Mall 153,Public Place,"61/361, Chaudry Path",Indore,Madhya Pradesh,India,18.882213,72.296597,878312,Low,SRC016,0.79,2024-04-30 17:29:33,2024-05-26 02:15:27
L00060,Mall 671,Bank,"69/86, Bawa Nagar",Indore,Madhya Pradesh,India,9.70783,74.505954,757155,Low,SRC017,0.89,2026-02-03 22:43:12,2026-02-11 11:43:12
L00061,Hotel 185,Hotel,"39/476, Rege Road",Nagpur,Maharashtra,India,19.924179,82.290888,457859,High,SRC019,0.85,2026-03-18 05:12:50,2026-04-26 11:45:34
L00062,Office 241,Hotel,"51/98, Munshi Nagar",Bhopal,Madhya Pradesh,India,9.507725,77.24564,560326,Unknown,SRC012,0.78,2026-03-28 03:10:53,2026-04-26 15:10:53
L00063,Industrial Area 809,Residence,"51/031, Kothari Path",Vadodara,Gujarat,India,11.954015,75.145795,870330,Low,SRC026,0.85,2026-04-05 08:40:24,2026-05-02 09:40:24
L00064,Road 290,Office,"76, Salvi",Indore,Madhya Pradesh,India,17.297139,72.188596,798155,High,SRC004,0.98,2024-02-22 00:15:50,2026-08-19 23:53:29
