resolution_id,record_1_type,record_1_id,record_2_type,record_2_id,similarity_score,matching_features,resolution_result,resolution_method,confidence_score,verified,created_at
RES000001,ALIAS,AL000478,PERSON,P00722,0.9400,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9384,True,2025-04-19 14:57:54
RES000002,ALIAS,AL000300,PERSON,P01312,0.9410,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8572,True,2026-03-30 18:02:01
RES000003,ALIAS,AL001478,PERSON,P01798,0.9420,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8539,True,2026-02-20 09:17:33
RES000004,ALIAS,AL000725,PERSON,P01017,0.9430,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9282,True,2025-08-18 11:59:13
RES000005,ALIAS,AL000953,PERSON,P01513,0.9440,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8412,True,2025-05-29 21:12:43
RES000006,ALIAS,AL000471,PERSON,P00621,0.9450,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9087,True,2025-01-24 10:50:04
RES000007,ALIAS,AL000195,PERSON,P00519,0.9460,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8773,True,2026-05-04 11:53:43
RES000008,ALIAS,AL000159,PERSON,P00712,0.9470,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8881,True,2025-11-15 01:35:09
RES000009,ALIAS,AL000145,PERSON,P00197,0.9480,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9451,True,2026-06-27 18:43:17
RES000010,ALIAS,AL000579,PERSON,P00768,0.9490,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8946,True,2025-10-17 12:44:24
RES000011,ALIAS,AL000098,PERSON,P00194,0.9500,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8409,True,2026-01-22 08:04:40
RES000012,ALIAS,AL000859,PERSON,P00948,0.9510,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9326,True,2025-03-27 15:40:59
RES000013,ALIAS,AL000166,PERSON,P01361,0.9520,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8636,True,2025-10-23 11:23:07
RES000014,ALIAS,AL000220,PERSON,P00673,0.9530,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8917,True,2026-01-27 06:49:51
RES000015,ALIAS,AL001129,PERSON,P01130,0.9540,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9332,True,2026-01-31 20:37:12
RES000016,ALIAS,AL004001,PERSON,P02115,0.9550,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9040,True,2025-09-04 20:57:36
RES000017,ALIAS,AL001541,PERSON,P01626,0.9560,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8806,True,2026-03-15 12:56:46
RES000018,ALIAS,AL000091,PERSON,P02189,0.9570,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8442,True,2025-08-13 16:23:54
RES000019,ALIAS,AL000059,PERSON,P00123,0.9580,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9034,True,2025-05-07 20:59:11
RES000020,ALIAS,AL000247,PERSON,P01037,0.9590,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8799,True,2026-07-25 16:35:47
RES000021,ALIAS,AL000221,PERSON,P00377,0.9600,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9185,True,2025-12-18 21:52:11
RES000022,ALIAS,AL000581,PERSON,P02597,0.9610,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9013,True,2025-03-20 23:58:29
RES000023,ALIAS,AL001077,PERSON,P01691,0.9620,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9507,True,2025-08-21 07:37:14
RES000024,ALIAS,AL000996,PERSON,P01033,0.9630,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9546,True,2026-07-26 16:44:38
