source_id,source_type,source_name,source_system,source_organization,collection_method,reliability_score,access_level,data_classification,created_at,updated_at
SRC001,CASE_DATABASE,Synthetic Case Database,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.83,Investigator,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC002,MOVEMENT_RECORD,Synthetic Movement Records,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.86,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC003,EVENT_DATABASE,Synthetic Event Repository,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.86,Analyst,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC004,POLICE_REPORT,Synthetic Police Reporting System,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.81,Analyst,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC005,RELATIONSHIP_DATABASE,Synthetic Relationship Store,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.90,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC006,COMMUNICATION,Synthetic Communication Records,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.87,Restricted,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC007,VEHICLE_DATABASE,Synthetic Vehicle Registry,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.86,Investigator,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC008,FINANCIAL,Synthetic Financial Records,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.80,Analyst,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC009,COMMUNICATION,Synthetic Call Record Store,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.78,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC010,FINANCIAL,Synthetic Transaction System,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.83,Analyst,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC011,INTELLIGENCE_REPORT,Synthetic Intelligence Repository,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.93,Restricted,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC012,SURVEILLANCE,Synthetic Surveillance Repository,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.82,Investigator,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC013,MOVEMENT_RECORD,Synthetic Location Movement Store,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.79,Restricted,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC014,SURVEILLANCE,Synthetic CCTV Repository,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.87,Investigator,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC015,CASE_DATABASE,Synthetic Investigation System,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.94,Analyst,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC016,COMMUNICATION,Synthetic Communication Archive,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.90,Investigator,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC017,EVENT_DATABASE,Synthetic Event Archive,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.80,Investigator,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC018,INTELLIGENCE_REPORT,Synthetic Intelligence Archive,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.90,Restricted,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC019,CASE_DATABASE,Synthetic Case Management System,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.83,Investigator,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC020,FINANCIAL,Synthetic Banking Data Store,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.94,Restricted,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC021,RELATIONSHIP_DATABASE,Synthetic Link Analysis Store,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.90,Restricted,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC022,COMMUNICATION,Synthetic Communication Archive B,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.91,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC023,MEMBERSHIP,Synthetic Organization Records,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.79,Analyst,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC024,FINANCIAL,Synthetic Financial Archive,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.82,Investigator,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC025,MEMBERSHIP,Synthetic Membership Archive,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.82,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC026,SURVEILLANCE,Synthetic Surveillance Archive,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.83,Analyst,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC027,VEHICLE_DATABASE,Synthetic Vehicle Observation Store,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.86,Investigator,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC028,EVENT_DATABASE,Synthetic Event Store B,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.93,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC029,INTELLIGENCE_REPORT,Synthetic Intelligence Store B,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.84,Analyst,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRC030,CASE_DATABASE,Synthetic Case Store B,CKG Synthetic Data Platform,Synthetic Investigative Records Unit,Structured database export,0.83,Analyst,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU001,OCR,Synthetic OCR Processing Store 001,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Document ingestion,0.75,Restricted,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU002,OCR,Synthetic OCR Processing Store 002,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,OCR extraction,0.85,Restricted,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU003,DOCUMENT,Synthetic Unstructured Document Repository 003,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Analyst upload,0.88,Analyst,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU004,OCR,Synthetic OCR Processing Store 004,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Synthetic feed,0.81,Analyst,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU005,OCR,Synthetic OCR Processing Store 005,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Synthetic feed,0.77,Analyst,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU006,OCR,Synthetic OCR Processing Store 006,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Synthetic feed,0.91,Analyst,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU007,CCTV,Synthetic CCTV Evidence Repository 007,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Analyst upload,0.82,Analyst,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
