ground_truth_id,pattern_type,member_entities,time_window
MULE_01,MULE_FAN_IN,A00001|A00002|A00003|A00004|A00005|A00006|A00007|A00008|A00009|A00010|A00011|A00012|A00013|A00014,2026-08-01T09:00:00 / 2026-08-02T21:00:00
MULE_02,MULE_FAN_IN,A00015|A00016|A00017|A00018|A00019|A00020|A00021|A00022|A00023|A00024|A00025|A00026|A00027|A00028,2026-08-02T09:00:00 / 2026-08-03T21:00:00
MULE_03,MULE_FAN_IN,A00029|A00030|A00031|A00032|A00033|A00034|A00035|A00036|A00037|A00038|A00039|A00040|A00041|A00042,2026-08-03T09:00:00 / 2026-08-04T21:00:00
LAYERING_01,LAYERING_CHAIN,A00043|A00044|A00045|A00046|A00047|A00048,2026-08-10T14:00:00 / 2026-08-10T14:40:00
LAYERING_02,LAYERING_CHAIN,A00049|A00050|A00051|A00052|A00053|A00054,2026-08-11T14:00:00 / 2026-08-11T14:40:00
SCATTER_GATHER_01,SCATTER_GATHER,A00055|A00056|A00057|A00058|A00059|A00060|A00061|A00062|A00063|A00064,2026-08-20T11:00:00 / 2026-08-20T13:40:00
CIRCULAR_FLOW_01,CIRCULAR_FLOW,A00065|A00066|A00067|A00068,2026-08-25T10:00:00 / 2026-08-28T10:00:00
STRUCTURING_01,STRUCTURING,A00069|A00070|A00071|A00072|A00073|A00074,2026-08-28T08:00:00 / 2026-08-28T18:00:00
COMMUNITY_01,COMMUNITY,PH04296|PH02372|PH04186|PH01792|PH04027|PH02598|PH00232|PH03927|PH00407|PH00978|PH02974|PH01107|PH03809|PH04081|PH03397|PH03875|PH02061|PH04152|PH03249|PH00359,2026-08-05T18:00:00 / 2026-08-05T23:59:59
COMMUNITY_02,COMMUNITY,PH04450|PH02327|PH01308|PH01910|PH01388|PH03254|PH04223|PH02895|PH03807|PH00890|PH03850|PH03895|PH03483|PH04267|PH02390|PH01674|PH00206|PH01602|PH01450|PH03174,2026-08-06T18:00:00 / 2026-08-06T23:59:59
COMMUNITY_03,COMMUNITY,PH02064|PH03408|PH01763|PH00530|PH03448|PH04304|PH03224|PH01828|PH03962|PH01655|PH02904|PH04320|PH01315|PH03756|PH03055|PH00976|PH01718|PH02832|PH02696|PH03838,2026-08-07T18:00:00 / 2026-08-07T23:59:59
COMMUNITY_04,COMMUNITY,PH04287|PH02846|PH04130|PH01873|PH02328|PH04289|PH03485|PH02808|PH02494|PH04256|PH01049|PH00064|PH01375|PH01126|PH04346|PH00562|PH04112|PH02829|PH04423|PH01254,2026-08-08T18:00:00 / 2026-08-08T23:59:59
BRIDGE_01,COMMUNITY_BRIDGE,PH04296|PH04450,2026-08-16T12:00:00 / 2026-08-16T12:00:00
BRIDGE_02,COMMUNITY_BRIDGE,PH02064|PH04287,2026-08-17T12:00:00 / 2026-08-17T12:00:00
BURST_01,PRE_EVENT_CALL_BURST,PH04296|PH02372|PH04186|PH01792|PH04027|PH02598|PH00232|PH03927|PH00407|PH00978|PH02974|PH01107|PH03809|PH04081|PH03397|PH03875|PH02061|PH04152|PH03249|PH00359,2026-06-06T19:21:33 / 2026-06-08T19:21:33
BURST_02,PRE_EVENT_CALL_BURST,PH04450|PH02327|PH01308|PH01910|PH01388|PH03254|PH04223|PH02895|PH03807|PH00890|PH03850|PH03895|PH03483|PH04267|PH02390|PH01674|PH00206|PH01602|PH01450|PH03174,2025-09-17T12:33:38 / 2025-09-19T12:33:38
BURST_03,PRE_EVENT_CALL_BURST,PH02064|PH03408|PH01763|PH00530|PH03448|PH04304|PH03224|PH01828|PH03962|PH01655|PH02904|PH04320|PH01315|PH03756|PH03055|PH00976|PH01718|PH02832|PH02696|PH03838,2026-06-28T13:14:00 / 2026-06-30T13:14:00
BURNER_01,BURNER_ROTATION,PH00002|PH00001|P03685|PH03095|PH02884|PH02448,2026-08-30T10:00:00 / 2026-09-02T10:00:00
BURNER_02,BURNER_ROTATION,PH00003|PH00009|P02666|PH01935|PH03123|PH00642|PH00263,2026-08-31T10:00:00 / 2026-09-03T10:00:00
