source_entity_type,relationship_type,target_entity_type,semantic_rule
ACCOUNT,TRANSFERRED_FUNDS,ACCOUNT,Legal CKG relation: TRANSFERRED_FUNDS between ACCOUNT and ACCOUNT.
ACCOUNT,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and ACCOUNT.
ACCOUNT,LINKED_TO_CASE,CASE,Legal CKG relation: LINKED_TO_CASE between ACCOUNT and CASE.
ACCOUNT,ASSOCIATED_WITH,CASE,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and CASE.
ACCOUNT,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and CRIME.
ACCOUNT,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and EVENT.
ACCOUNT,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and LOCATION.
ACCOUNT,OWNED_BY,ORGANIZATION,Legal CKG relation: OWNED_BY between ACCOUNT and ORGANIZATION.
ACCOUNT,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and ORGANIZATION.
ACCOUNT,OWNED_BY,PERSON,Legal CKG relation: OWNED_BY between ACCOUNT and PERSON.
ACCOUNT,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and PERSON.
ACCOUNT,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and PHONE.
ACCOUNT,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between ACCOUNT and VEHICLE.
CASE,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between CASE and ACCOUNT.
CASE,ASSOCIATED_WITH,CASE,Legal CKG relation: ASSOCIATED_WITH between CASE and CASE.
CASE,CONTAINS_CRIME,CRIME,Legal CKG relation: CONTAINS_CRIME between CASE and CRIME.
CASE,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between CASE and CRIME.
