communication_id,source_phone_id,target_phone_id,communication_type,timestamp,duration_seconds,cell_tower_source,cell_tower_target,communication_direction,message_id_hash,source_id,confidence_score,evidence_id,created_at
COM000001,PH00764,PH01415,EMAIL,2026-02-19 14:51:57,,TWR0028,TWR0148,OUTBOUND,MSG114729680,SRC018,0.98,EV01491,2024-02-04 07:14:22
COM000002,PH01052,PH02415,SMS,2024-04-15 23:26:14,,TWR0225,TWR0281,INBOUND,MSG755018337,SRC001,0.83,EV02554,2024-01-03 23:35:08
COM000003,PH00663,PH01747,SMS,2025-07-15 10:08:53,,TWR0256,TWR0222,INBOUND,MSG722221101,SRC019,0.94,EV04063,2024-01-19 20:03:45
COM000004,PH01993,PH02858,EMAIL,2024-04-15 22:29:07,,TWR0199,TWR0392,OUTBOUND,MSG121550122,SRC012,0.97,EV03841,2025-01-21 11:03:12
COM000005,PH03466,PH02003,CALL,2026-03-03 20:55:15,357,TWR0117,TWR0182,INBOUND,MSG428571876,SRC030,0.91,EV01927,2024-05-10 20:48:51
COM000006,PH01026,PH00439,CALL,2026-05-13 20:54:44,766,TWR0311,TWR0193,OUTBOUND,MSG506288331,SRC019,0.94,EV01372,2025-09-24 09:14:21
COM000007,PH00728,PH02743,EMAIL,2026-04-02 21:50:19,,TWR0385,TWR0157,OUTBOUND,MSG371404907,SRC021,0.89,EV00823,2024-03-13 08:07:17
COM000008,PH01729,PH00045,SMS,2026-01-26 02:17:54,,TWR0101,TWR0016,OUTBOUND,MSG868746028,SRC009,0.96,EV01571,2026-04-29 20:06:36
COM000009,PH00982,PH00433,SMS,2026-07-06 06:29:34,,TWR0375,TWR0315,INBOUND,MSG554509890,SRC011,0.87,EV04991,2025-01-27 20:17:21
COM000010,PH02584,PH03261,CALL,2024-02-25 22:26:09,1574,TWR0159,TWR0323,INBOUND,MSG338617150,SRC018,0.93,EV01001,2024-02-16 17:58:23
COM000011,PH01026,PH03540,CALL,2025-03-02 18:14:35,996,TWR0365,TWR0236,OUTBOUND,MSG724252035,SRC007,0.89,EV00012,2024-12-16 02:46:00
COM000012,PH03965,PH01106,CALL,2025-05-07 04:49:36,1286,TWR0193,TWR0322,OUTBOUND,MSG330861422,SRC014,0.82,EV04342,2025-09-14 16:59:56
COM000013,PH00929,PH03380,EMAIL,2024-12-16 18:30:18,,TWR0023,TWR0116,OUTBOUND,MSG344892533,SRC005,0.95,EV03169,2024-07-16 06:17:47
COM000014,PH01728,PH03988,CALL,2024-06-26 11:56:58,1555,TWR0113,TWR0048,OUTBOUND,MSG802225179,SRC009,0.82,EV01562,2024-07-03 18:47:58
COM000015,PH00357,PH01932,EMAIL,2026-02-02 11:20:18,,TWR0272,TWR0295,OUTBOUND,MSG114236648,SRC028,0.82,EV01325,2026-02-18 03:03:56
COM000016,PH00832,PH03160,EMAIL,2024-08-30 22:11:17,,TWR0050,TWR0125,INBOUND,MSG848799043,SRC026,0.92,EV00727,2026-08-20 17:15:57
COM000017,PH04327,PH02361,CALL,2025-01-04 00:04:22,425,TWR0296,TWR0013,OUTBOUND,MSG661949444,SRC015,0.91,EV00148,2025-08-18 19:26:08
COM000018,PH00297,PH04138,SMS,2025-04-04 17:31:32,,TWR0226,TWR0211,OUTBOUND,MSG242310125,SRC012,0.97,EV03027,2026-07-09 00:42:55
COM000019,PH02164,PH02334,SMS,2024-12-02 06:31:25,,TWR0349,TWR0197,INBOUND,MSG397244418,SRC005,0.93,EV02167,2025-05-12 07:11:10
COM000020,PH00364,PH01933,SMS,2026-03-10 08:49:06,,TWR0073,TWR0336,OUTBOUND,MSG454469790,SRC022,0.92,EV01896,2025-08-09 14:49:45
COM000021,PH02133,PH01198,SMS,2024-05-15 16:38:18,,TWR0051,TWR0105,INBOUND,MSG252847595,SRC017,0.81,EV03320,2024-01-30 18:55:24
COM000022,PH03915,PH01260,SMS,2026-05-22 14:18:30,,TWR0076,TWR0179,INBOUND,MSG902595968,SRC006,0.93,EV04554,2024-07-26 07:55:52
COM000023,PH03043,PH04162,EMAIL,2025-06-19 21:37:04,,TWR0032,TWR0006,OUTBOUND,MSG129890890,SRC015,0.98,EV01217,2024-04-28 09:32:37
COM000024,PH01182,PH01835,CALL,2024-04-30 22:58:12,81,TWR0303,TWR0252,OUTBOUND,MSG300402282,SRC015,0.9,EV00585,2024-06-01 09:31:31
COM000025,PH02092,PH01875,CALL,2024-09-01 05:35:10,192,TWR0201,TWR0317,INBOUND,MSG984137578,SRC004,0.85,EV04267,2025-05-13 22:00:24
COM000026,PH01962,PH00577,CALL,2025-01-10 08:01:37,950,TWR0360,TWR0177,OUTBOUND,MSG425651367,SRC005,0.91,EV02568,2026-02-25 06:54:53
COM000027,PH02990,PH03038,SMS,2025-10-20 10:00:30,,TWR0091,TWR0344,INBOUND,MSG766521135,SRC023,0.92,EV01231,2025-12-03 15:12:57
COM000028,PH00919,PH02097,SMS,2026-01-30 04:36:38,,TWR0065,TWR0028,INBOUND,MSG606058362,SRC027,0.91,EV01284,2026-08-03 11:59:07
COM000029,PH04474,PH04150,SMS,2024-03-20 22:40:30,,TWR0034,TWR0148,INBOUND,MSG440132762,SRC005,0.88,EV02194,2026-04-02 07:21:18
COM000030,PH02533,PH01837,SMS,2026-03-08 19:26:11,,TWR0163,TWR0033,INBOUND,MSG866797250,SRC009,0.86,EV00231,2024-11-03 19:17:05
COM000031,PH02303,PH01193,SMS,2025-11-01 20:08:57,,TWR0281,TWR0030,OUTBOUND,MSG837478300,SRC010,0.81,EV01496,2025-05-25 09:31:47
COM000032,PH02992,PH01674,SMS,2025-02-05 17:58:39,,TWR0032,TWR0228,INBOUND,MSG390301286,SRC023,0.88,EV03954,2025-05-11 03:04:25
COM000033,PH00379,PH01399,CALL,2025-07-15 21:04:18,997,TWR0160,TWR0065,OUTBOUND,MSG901589459,SRC027,0.81,EV04458,2024-07-01 20:01:03
