transaction_id,source_account_id,target_account_id,transaction_type,amount,currency,timestamp,transaction_reference_hash,source_location_id,destination_location_id,channel,description,source_id,confidence_score,evidence_id,created_at
TX000001,A00623,A00033,DEPOSIT,705230.17,INR,2025-09-25 02:05:34,REF21635905476,L01367,L01674,IMPS,Refund,SRC001,0.88,EV02569,2026-01-09 08:00:22
TX000002,A00009,A00693,DEPOSIT,48646.75,INR,2024-11-24 07:26:27,REF83324049946,L01632,L00971,RTGS,Invoice payment,SRC020,0.93,EV01284,2025-04-23 21:57:59
TX000003,A00288,A01239,TRANSFER,637989.82,INR,2025-01-30 02:10:08,REF68194348539,L01652,L02421,IMPS,Invoice payment,SRC028,0.97,EV02349,2024-11-06 08:25:56
TX000004,A00456,A00762,CASH,180906.29,INR,2024-02-27 17:29:25,REF78118525569,L02298,L00801,NEFT,Invoice payment,SRC019,0.96,EV03841,2025-08-02 20:49:06
TX000005,A01256,A00811,PAYMENT,300852.41,INR,2026-04-14 13:06:29,REF55763349356,L01108,L01561,ATM,Personal transfer,SRC013,0.95,EV01613,2025-07-10 10:40:52
TX000006,A00016,A01083,DEPOSIT,702492.98,INR,2025-11-17 18:54:28,REF97603828375,L00732,L01466,NEFT,Service payment,SRC015,0.9,EV03065,2025-09-22 00:26:18
TX000007,A01169,A01294,CASH,497081.35,INR,2024-06-06 11:26:38,REF35881330311,L01313,L01397,UPI,Refund,SRC024,0.91,EV00051,2026-07-09 15:32:21
TX000008,A00432,A01195,DEPOSIT,600325.08,INR,2024-03-29 23:05:17,REF92608900286,L01442,L00679,UPI,Personal transfer,SRC024,0.84,EV04325,2026-01-16 04:46:49
TX000009,A01077,A00310,DEPOSIT,445736.32,INR,2026-01-16 13:42:30,REF20517662493,L02135,L00029,NEFT,Personal transfer,SRC009,0.93,EV02516,2024-04-20 14:11:46
TX000010,A00414,A00536,WITHDRAWAL,266721.5,INR,2026-07-13 23:09:40,REF58137250125,L00027,L00553,NEFT,Vendor payment,SRC012,0.82,EV00671,2024-10-21 20:50:07
TX000011,A01223,A00468,DEPOSIT,138383.38,INR,2025-10-10 18:41:54,REF19230848882,L01426,L02248,ATM,Invoice payment,SRC009,0.83,EV04413,2024-10-27 03:50:49
TX000012,A00376,A00831,WITHDRAWAL,718526.59,INR,2025-12-20 16:28:58,REF23272335147,L01586,L02091,ATM,Vendor payment,SRC013,0.84,EV03186,2024-05-19 00:17:23
TX000013,A01226,A00809,PAYMENT,80841.73,INR,2025-03-30 18:34:14,REF64649477196,L01967,L01271,ATM,Vendor payment,SRC026,0.91,EV00088,2026-08-22 22:44:53
TX000014,A00887,A01090,CASH,698695.79,INR,2024-01-28 11:54:24,REF57612723654,L00649,L00353,CASH,Invoice payment,SRC025,0.95,EV00005,2026-06-08 02:11:56
TX000015,A01180,A00788,DEPOSIT,731113.85,INR,2025-01-28 02:03:08,REF41771896122,L01749,L00853,CASH,Vendor payment,SRC030,0.88,EV03652,2025-06-10 18:39:19
TX000016,A01149,A00953,CASH,547742.67,INR,2024-10-10 14:53:11,REF93394877679,L00078,L01906,IMPS,Personal transfer,SRC020,0.82,EV01648,2024-11-25 05:16:04
TX000017,A01288,A00392,DEPOSIT,481782.74,INR,2026-02-15 04:09:00,REF43592342536,L01834,L02268,ATM,Personal transfer,SRC026,0.91,EV01378,2026-07-20 21:52:07
TX000018,A01135,A01127,PAYMENT,290759.6,INR,2024-03-26 02:06:03,REF44005118354,L02047,L00534,ATM,Refund,SRC024,0.98,EV03710,2026-03-29 20:28:28
TX000019,A00189,A00492,CASH,421471.6,INR,2024-10-11 05:20:37,REF31933428239,L01741,L01686,CASH,Invoice payment,SRC026,0.89,EV02073,2024-03-06 06:05:08
TX000020,A00752,A00995,WITHDRAWAL,212125.46,INR,2025-06-17 06:12:13,REF38147530641,L00542,L02359,CASH,Cash deposit,SRC026,0.87,EV00904,2024-03-29 06:35:22
TX000021,A00252,A00628,WITHDRAWAL,443970.85,INR,2025-09-29 06:37:03,REF90675027767,L01046,L00153,UPI,Vendor payment,SRC013,0.86,EV02324,2024-08-26 18:37:57
TX000022,A00746,A00201,TRANSFER,32385.31,INR,2026-01-18 01:48:44,REF74293548775,L02354,L01678,RTGS,Service payment,SRC019,0.93,EV03481,2024-03-27 08:31:53
TX000023,A01276,A00696,PAYMENT,173723.26,INR,2024-04-11 08:00:40,REF34046571192,L00858,L02287,ATM,Vendor payment,SRC023,0.96,EV04159,2025-02-03 07:09:36
TX000024,A00786,A00518,DEPOSIT,37495.55,INR,2025-07-09 17:14:40,REF56011536719,L02368,L00113,ATM,Vendor payment,SRC016,0.99,EV01232,2025-09-12 18:02:32
TX000025,A00069,A00190,CASH,415405.28,INR,2025-02-01 09:40:32,REF55035431786,L01565,L01241,RTGS,Invoice payment,SRC020,0.97,EV00580,2026-05-13 10:09:34
TX000026,A01101,A00528,DEPOSIT,488868.52,INR,2024-09-16 06:25:42,REF79438219407,L01051,L02470,ATM,Cash deposit,SRC008,0.9,EV01099,2026-03-02 13:16:56
TX000027,A00257,A00977,PAYMENT,633346.94,INR,2026-06-11 15:55:42,REF11409216332,L01139,L02279,NEFT,Cash deposit,SRC020,0.93,EV02095,2026-06-17 17:10:00
TX000028,A00160,A01037,TRANSFER,729461.73,INR,2025-06-27 15:14:27,REF54522977628,L02175,L01726,IMPS,Refund,SRC011,0.85,EV02357,2026-07-22 08:25:52
TX000029,A00268,A01197,TRANSFER,650766.61,INR,2024-02-04 20:39:40,REF45080476601,L00671,L02166,CASH,Vendor payment,SRC027,0.96,EV01543,2024-05-11 13:49:17
TX000030,A00140,A00577,PAYMENT,635672.35,INR,2026-01-17 11:21:58,REF60394915641,L02155,L02004,IMPS,Cash deposit,SRC002,0.84,EV01124,2026-01-24 12:41:52
TX000031,A01147,A01136,PAYMENT,722316.25,INR,2025-06-28 08:14:37,REF77095872699,L01106,L02262,ATM,Service payment,SRC030,0.9,EV03692,2024-12-06 14:18:48
TX000032,A00841,A00343,WITHDRAWAL,607533.01,INR,2025-11-12 16:13:09,REF37927531956,L02355,L00151,ATM,Refund,SRC016,0.87,EV01283,2024-01-31 20:19:22
