account_id,in_deg,out_deg,in_volume,out_volume,egonet_nodes,egonet_edges,pagerank,community
A00001,8,5,3005765.3699999996,1501120.13,13,1,1.2585296967623074,null
A00002,4,5,989603.56,2176518.59,9,2,0.7143521867414354,null
A00004,7,4,2666409.66,263376.12,11,1,1.0869923394232113,null
A00005,5,6,2120479.16,1497517.08,11,2,1.058396989877586,null
A00006,8,12,3096607.48,3282750.1299999994,20,2,1.1796173993180565,null
A00009,4,6,1005088.76,2219739.36,10,1,0.7233706283327512,null
A00010,4,5,1704998.8699999999,2033896.6800000002,9,2,0.5783414604877699,null
A00011,8,6,2898481.3899999997,2431711.89,13,1,1.3734597230419274,null
A00013,17,6,1803714.0999999999,2127223.1199999996,23,3,2.6126619872651333,null
A00018,2,8,1279055.13,2627746.1,10,2,0.5240790663510246,null
A00019,10,8,3893079.34,2999735.68,18,1,1.729637227827102,null
A00020,10,7,3911087.0600000005,1064070.6099999999,17,1,2.225695289983608,null
A00024,7,9,1708083.5699999996,2919610.5,16,2,1.544102471149169,null
A00029,4,7,2100678.66,2781561.2700000005,11,2,0.765213770431899,null
A00030,4,7,1340273.3900000001,2278019.81,11,2,0.524488162951862,null
A00031,6,11,2276203.08,3940551.72,17,3,0.7528870516865017,null
A00032,2,7,938690.1000000001,3408014.97,9,1,0.3615321098236842,null
A00038,2,5,661542.41,1176728.7700000003,7,1,0.3736902609497117,null
A00039,7,9,2342783.83,3721577.4400000004,16,1,0.8689421911250294,null
A00041,18,4,1770518.75,1477233.2,22,4,2.543773013776269,null
A00042,8,3,2511297.12,790852.97,11,1,2.0540031659173046,null
A00044,4,6,1527225.56,1865226.84,10,1,0.7487607723166441,null
A00048,6,2,1572687.7399999998,815881.51,8,1,1.19359939515146,null
A00051,8,7,2586642.59,2379599.4000000004,14,1,1.4229319032566832,null
A00053,8,4,2216220.11,1487202.9,12,1,1.6389375792948955,null
A00055,9,13,3715743.4800000004,2649786.57,22,1,1.2421224991853477,null
A00057,8,12,2897310.46,4215273.26,20,1,0.9666561605876935,null
A00058,8,8,2367615.98,3160969.94,16,1,1.3954609357494465,null
A00059,6,5,2219933.02,2156273.33,11,1,0.7224798341225349,null
A00062,8,8,2315661.2299999995,2842964.8899999997,16,1,0.9276642311215331,null
A00066,6,3,2124596.78,175422.75999999998,9,1,0.7605483721618502,null
A00069,14,17,1217291.76,3430442.14,13,1,1.722168081158332,null
A00071,16,15,1876538.3599999999,2293360.34,13,2,2.51627139778539,null
A00072,16,15,2214826.85,2049149.49,13,3,2.492209638377717,null
A00074,13,19,585695.9199999999,3988347.76,14,2,2.023786054608816,null
A00077,4,10,1448838.45,3315858.2300000004,14,2,0.5393213681408907,null
A00078,5,6,1875796.93,3041857.73,11,1,0.7390344916363836,null
A00080,7,6,2318969.35,2288028.84,13,1,1.104260850243433,null
A00089,5,5,2220189.1500000004,1198629.73,10,1,1.0311397002370064,null
A00090,6,8,2555355.2599999993,2666398.64,14,1,1.0282620181164688,null
A00093,7,6,3181083.9599999995,2216880.55,13,1,1.1409431457077475,null
A00095,7,3,2259419.91,485124.47,10,1,1.2440320536538272,null
A00097,4,7,937265.4,2537963.3200000003,11,1,0.5890296095534556,null
A00099,2,3,811096.8,890272.8200000001,5,1,0.4698774593230961,null
A00106,9,4,4317307.890000001,2159915.3600000003,13,1,1.7489821876809792,null
A00107,9,8,3287101.2399999998,2983046.83,17,2,0.955567093519913,null
