account_id,in_deg,out_deg,in_volume,out_volume,egonet_nodes,egonet_edges,pagerank,community,expected_edges,oddball_score,ego_shape,shape_norm_score,total_volume,total_deg,volume_per_tx
A00694,8,8,1995324.61,4434421.93,16,6,1.168932069390311,,1.4947833067927865,2.9734386839758806,NEAR_CLIQUE,5.878138685226241,6429746.54,16,401859.15875
A00776,8,8,3019902.98,2804333.3699999996,16,5,1.1329305215178618,,1.4947833067927865,2.186657028037291,NEAR_CLIQUE,4.019901868354188,5824236.35,16,364014.771875
A00218,10,7,3710311.97,1871065.81,17,5,2.2502467470392875,,1.5386055678213575,2.110581927318449,NEAR_CLIQUE,3.84022615790011,5581377.78,17,328316.34
A00787,11,9,3384835.67,4037395.939999999,20,5,1.4877832710762553,,1.6625246184652396,1.916473945039521,NEAR_CLIQUE,3.38177800218001,7422231.609999999,20,371111.5805
A00637,9,13,3980528.12,5232637.62,22,1,1.0360681018846614,,1.7397903632041665,0.4184142254191978,STAR,3.2051082649887896,9213165.74,22,418780.2609090909
A00055,9,13,3715743.48,2649786.57,22,1,1.2421224991853477,,1.7397903632041665,0.4184142254191978,STAR,3.2051082649887896,6365530.05,22,289342.27499999997
A00880,11,10,4177421.23,2679816.8000000003,21,1,1.839079946993727,,1.7016391108097928,0.392853097510922,STAR,2.9026092103262866,6857238.03,21,326535.1442857143
A00681,10,11,4329480.800000001,2875743.0,21,1,1.6846463781634615,,1.7016391108097928,0.392853097510922,STAR,2.9026092103262866,7205223.800000001,21,343105.89523809525
A00570,8,5,2963385.6700000004,2632689.62,13,4,1.2281504475603249,,1.3539346395530236,1.6598273897938218,NEAR_CLIQUE,2.7756249808414326,5596075.290000001,13,430467.3300000001
A00111,8,7,3468452.6399999997,2472074.24,14,4,1.3630842698764405,,1.4026126811277986,1.5855758524831898,NEAR_CLIQUE,2.600256199301444,5940526.88,15,396035.12533333333
A01164,12,8,5698378.35,3457301.84,20,1,1.8080490139308267,,1.6625246184652396,0.3670323762895462,STAR,2.597038040376412,9155680.19,20,457784.0095
A00860,13,7,6408150.25,1858996.63,20,1,1.4308410496287731,,1.6625246184652396,0.3670323762895462,STAR,2.597038040376412,8267146.88,20,413357.344
A00057,8,12,2897310.46,4215273.26,20,1,0.9666561605876935,,1.6625246184652396,0.3670323762895462,STAR,2.597038040376412,7112583.72,20,355629.186
A01077,6,9,2395276.5599999996,3591173.9300000006,15,4,1.1348712062680169,,1.4495026600949348,1.518560004761344,NEAR_CLIQUE,2.4419768156749075,5986450.49,15,399096.69933333335
